Gene_ID	Box2_F4_ND_3h_AF	Box2_F7_ND_3h_AF	Box2_G1_ND_3h_AF	Box2_G4_ND_3h_AF	Box3_A3_ND_3h_AF	Box3_A4_ND_3h_AF	Box3_A5_ND_3h_AF	Box3_C2_ND_3h_YF	Box3_E4_ND_3h_YM	Box3_E6_ND_3h_YF	Box4_A4_ND_3h_YF	Box4_A5_ND_3h_YF	Box4_C3_ND_3h_YF	Box2_F3_ND_24h_AF	Box2_G2_ND_24h_AF	Box2_G3_ND_24h_AF	Box2_G5_ND_24h_AF	Box2_G6_ND_24h_AF	Box2_G7_ND_24h_AF	Box3_A2_ND_24h_AF	Box3_F1_ND_24h_YM	Box4_A3_ND_24h_AM	Box4_C1_ND_24h_AM
ENSMUSG00000021636	3	3	4	3	1	0	3	0	2	2	0	2	1	1	10	0	1	0	0	0	0	0	0
ENSMUSG00000021638	3	0	0	4	0	0	1	0	0	0	4	8	1	0	9	0	0	0	0	0	0	2	0
ENSMUSG00000021639	6	7	7	3	2	0	1	4	3	2	8	13	7	3	6	1	4	5	0	0	0	1	0
ENSMUSG00000021640	5.22	6	5	5.12	0	0	0	4	1	1.02	8.88	46	7	4.87	22	3	4	0	0	1	0	1.03	3.69
ENSMUSG00000021643	0	0	1	1	0	0	0	0	0	0	1	2	0	2	1	0	0	0	0	0	1	0	0
ENSMUSG00000021645	19	7	36	11	0	0	2	0	10	15	18	40	15	4	19	0	3	2	0	2	4	18	5
ENSMUSG00000021646	3	1	2	2	1	0	1	1	2	2	2	5	3	1	3	0	1	0	0	0	0	1	2
ENSMUSG00000021647	0	0	0	1	0	1	0	0	0	0	0	8	0	2	14	0	0	0	0	0	3	0	1
ENSMUSG00000021650	18	18	28	13	5	1	8	2	13	15	26	54	17	12	13	1	9	7	1	5	12	6	10
ENSMUSG00000021660	379	315	356	283	67	47	159	72	175	300	510	662.89	282	166	354.39	29	203.7	255	9	48	116	276	164
ENSMUSG00000021661	16	14	13	10	0	1	4	1	3	5	6	11	3	5	20	2	4	2	0	2	1	7	2
ENSMUSG00000021662	11	7	4	7	0	0	1	0	2	4	9	10	1	3	8	0	9	6	0	1	9	10	11
ENSMUSG00000021665	68.92	61	99	66	7	3	21	8	20	37	101.95	153	43	29.9	57.96	11	31	19.85	5	1.61	19	43.93	22.91
ENSMUSG00000021666	34.08	25	25	20	1	0	2	2	5	11	25.05	34	9	10.1	4.04	2	6	3.15	0	2.39	6	11.07	3.09
ENSMUSG00000021668	6	2	8	5	0	2	1	0	1	1	6	6	0	0	2	0	2	4	0	0	0	3	1
ENSMUSG00000021669	62	54	80	33	2	1	5	2	5	16	39	61	9	16	35	2	8	10	1	1	10	14	5
ENSMUSG00000021670	27	28	37	16	5	1	7	1	1	10	20	21	7	3	35	3	2	5	1	2	4	9	1
ENSMUSG00000021671	10	11	14	12	0	0	3	0	2	5	4	6	6	2	15	0	0	1	0	0	0	1	0
ENSMUSG00000021675	154	158	163	141	11	6	44	19	73	69	191	305	46	150	129	22	109	55	5	36	151	324	174
ENSMUSG00000021676	44	36	42	38	3	0	7	3	6	10	17	33	5	10	22	4	8	5	0	5	0	4	9
ENSMUSG00000021678	15	9	3	6	0	0	3	3	0	2	4	16	4	4	4	0	1	3	0	1	2	3	0
ENSMUSG00000021681	50	28	54	24	2	0	12	4	4	30	31	63	20	9	35	3	7	6	1	2	6	10	3
ENSMUSG00000021684	1	0	0	0	0	0	0	0	1	0	2	0	1	0	2	0	0	0	0	0	0	0	0
ENSMUSG00000021686	74	82	106	55	1	1	3	2	25	43	56	91	37	45	43	5	16	30	2	8	30	51	23
ENSMUSG00000021687	196	173	191	122	13	9	48	10	29	44	125	212	39	121	148	23	52	31	8	10	32	89	30
ENSMUSG00000021690	13	10	14	7	2	1	4	1	0	2	4	5	4	5	31	0	7	7	0	2	1	3	1
ENSMUSG00000021692	6.67	1.06	4.42	3.36	0	0	0	1.21	0	3.75	4.54	3.19	1.13	0	4.41	1	2.2	1.09	0	0	0	0	1.12
ENSMUSG00000021693	630.33	490.94	489.58	379.64	51	43	244	60.79	124	221.25	518.46	1206.81	180.87	389	338.59	57	242.8	109.91	19	33	129	384	198.88
ENSMUSG00000021694	3	4	4	2	0	0	3	0	0	3	5	11	0	0	1	0	1	1	0	0	1	2	1
ENSMUSG00000021696	17	20	27	20	3	2	11	3	6	13	27	37	6.02	27	11	4	14	6	2	2	24	54.91	16
ENSMUSG00000021697	5	4	8	4	1	0	0	0	0	1	3	2	3	2	2	1	1	2	0	0	2	1	1
ENSMUSG00000021699	8	9	6	8	0	0	0	1	1	2	5	6	0	5	19	2	0	4	0	0	1	9	1
ENSMUSG00000021700	0	0	0.92	0	0	0	0	0.85	0	1.2	1.19	2.5	0	0	1.12	0	0	0	0	0	0	0	0
ENSMUSG00000021701	43	24	28	16	0	1	5	5	1	8	37	111	11	16	120	6	3	4	0	3	7	12	13
ENSMUSG00000021703	32	23	49	21	0	1	9	0	1	4	11	33	3	7	19	1	4	3	0	0	1	4	0
ENSMUSG00000021704	4	3	4	5	0	0	2	1	0	1	0	4	2	1	4	0	0	0	0	0	0	0	1
ENSMUSG00000021706	10	12	8	5	1	0	1	1	0	0	3	2	3	1	4	1	0	0	0	0	1	0	0
ENSMUSG00000021707	4	2	4	0	1	1	2	1	0	2	3	2	2	0	0	0	2	0	0	1	0	0	0
ENSMUSG00000021708	11	12	13	8	0	0	8	0	1	5	6	25	3	11	4	2	11	3	0	2	5	14	10
ENSMUSG00000021709	198	119	162	101	15	11	29	8	11	31	62	138	16	93	140	20	36	45	4	9	24	35	12
ENSMUSG00000021710	10	7	12	9	0	0	1	3	1	2	18	14	5	1	5	0	2	1	0	0	2	1	0
ENSMUSG00000021711	27	14	16.37	11.28	1	2	6.5	3.5	2	7.5	17	19.5	10.5	6	3.5	1	4	3	1	1	2	2	1
