Gene_ID	Control_1	Control_2	Control_3	Control_4	Control_5	Control_6	Control_7	Control_8	Control_9	Lung_1	Lung_2	Lung_3	Lung_4	Lung_5	Lung_6	Lung_7	Lung_8	Lung_9
ENSG00000143162	69	118	121	15	161	85	94	106	98	50	52	1	77	35	88	24	36	69
ENSG00000143164	80	118	68	18	42	83	167	80	168	104	149	184	123	49	156	188	64	129
ENSG00000143167	0	15	4	1	0	5	19	14	23	1	1	0	1	6	1	0	1	0
ENSG00000143178	0	0	0	0	0	0	0	0	0	0	0	0	4	0	7	0	0	2
ENSG00000143179	0	0	0	0	0	0	0	0	0	0	0	71	0	2	0	0	0	2
ENSG00000143183	3	0	0	18	82	26	114	14	294	14	15	0	7	3	27	13	8	6
ENSG00000143184	0	0	0	0	0	3	0	0	21	0	0	0	0	0	0	0	5	1
ENSG00000143185	8	0	0	0	0	8	0	0	2	0	1	0	0	0	0	0	2	1
ENSG00000143190	24	5	13	3	60	22	12	65	93	8	13	0	21	46	6	2	14	26
ENSG00000143194	0	6	18	0	0	19	0	17	17	0	4	0	0	0	13	0	0	6
ENSG00000143195	1	0	0	0	0	0	1	0	0	0	2	18	0	0	0	0	0	1
ENSG00000143198	117	84	70	111	248	336	354	158	168	64	160	31	131	82	116	190	33	100
ENSG00000143199	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000143207	1	0	4	4	43	1	1	0	0	15	54	0	4	7	24	0	2	26
ENSG00000143222	142	41	97	62	217	136	132	134	329	36	75	43	56	41	49	49	36	38
ENSG00000143224	0	28	0	0	1	15	36	38	41	4	3	0	14	0	6	0	8	4
ENSG00000143226	94	60	165	64	217	121	115	75	475	161	314	104	220	102	36	94	104	53
ENSG00000143228	0	0	0	9	2	0	0	0	10	0	12	0	0	0	0	0	0	1
ENSG00000143252	18	23	14	4	64	68	37	65	24	19	15	1	12	0	22	4	8	9
ENSG00000143256	3	0	10	6	21	57	0	0	46	5	21	36	12	0	4	0	4	16
ENSG00000143258	24	0	1	0	23	68	0	0	0	8	20	0	2	10	12	9	0	0
ENSG00000143294	48	52	102	52	46	109	58	106	98	17	42	0	20	9	31	1	33	23
ENSG00000143297	0	12	0	0	24	0	0	0	13	2	2	0	1	0	0	0	1	0
ENSG00000143303	0	19	0	4	8	0	0	22	0	1	2	0	2	0	3	0	0	3
ENSG00000143314	0	50	40	46	12	0	7	0	129	4	13	0	12	0	0	0	2	7
